,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31
Ch21,0.30271993761206134,0.02278218595182756,-0.09940113912261397,0.007994617363945564,0.12289417019299417,-0.012820828780919107,0.0334568787044984,0.043335783094637835,0.04531067780279617,-0.35808429524024366,-0.3237875648659181,-0.16161591462160735,0.006037629684351731,0.19298506911465652,-0.019961452020751183,-0.044558351467026705,0.2356774454827134,0.036789609385995445,0.2615285378714154,0.08477987577558335,0.16075746071940084,-0.2729698830956579,0.0968825918561859,-0.30617846310394425,0.3713792762772091,-0.2769673182352383,-0.16760282975408458,0.006323470722753147,5.828670879282072e-16,-2.246790917626705e-16,7.397581774584858e-17
Ch22,-0.31696650207271637,0.029206936257102963,0.1167778306658013,-0.063995385581776,0.0032794875617764632,-0.020941862003458992,0.12161227834805413,0.09903102711390659,-0.021145577819344917,-0.09733341633656388,-0.0360922409626175,0.07586615874474228,-0.176611603088116,-0.16624619303567995,-0.10533495408017338,-0.10869290605429223,-0.14121532439976947,0.28674987734594276,0.21276358756126496,0.011954118006500564,0.23198534697804074,-0.2889600680671607,-0.35699058542972784,0.08702831730118234,-0.27773336888495315,-0.35482508115304956,-0.032297857925258244,0.29252984356464856,0.21821789023599228,-4.0460979009725173e-16,4.1824015445855426e-16
Ch23,0.011587121349580759,0.023381248438090987,-0.10616276409035152,0.15311551855540495,0.0677139442272981,-0.19645383482508208,0.1882425191570101,0.43568839937007064,0.04783834183279334,0.13215083675878003,0.35069102522063467,-0.34193634827872377,0.002860071756312678,-0.28268031862974696,-0.14325260773714854,0.16894970731108666,0.33183261078057885,0.11855836098157822,-0.061099227553945555,-0.2897728921796403,-0.06476188189637275,-0.1290115598105672,-0.09508896038441376,-0.04224167433705288,0.048045654405990804,0.04226041218648602,-0.2084326335271109,-0.12827051137857054,3.1138286393783687e-16,-2.209803829278225e-17,-4.984579007367429e-17
Ch24,0.17100601963109585,-0.13116452859301767,0.2173470224920378,-0.14037565688561776,0.09364000237758978,0.5118111880211271,0.06478795212287226,0.18494631752187513,0.09908843931625577,-0.25483836203058263,0.11913246596685595,0.02763454100973283,0.11938513676121923,-0.1984830792192721,0.25740225861706756,0.15380138669689516,0.2616738314450664,0.02021099696414943,0.19675529508553183,-0.041942167693442445,-0.28249721504510433,0.1616022528439262,0.06481498141490363,0.08494760282823074,-0.14531452304231982,-0.15544364726298593,0.21181657256110187,0.16545007748268067,-4.49293380277993e-16,1.1012048820667128e-16,9.541183164052909e-17
Ch25,0.03409605690470226,0.15347280560221216,-0.08361819215788796,-0.1561224774176891,0.041007608940241566,0.2226617445326937,-0.0031830766405863842,-0.11550197221672248,0.5518330669257404,0.08801039265627321,0.0027914755448682424,0.3987519206348724,-0.3160905830876731,-0.004414208227760633,-0.3799370814881528,0.005064568707154653,0.2936913381485099,-0.01956639487835843,-0.20738062741341454,-0.10681394744374387,0.0652445748275642,-0.05066211987667596,0.04083683872758819,-0.10757758219096127,-0.03512757013908548,0.028226146343357142,-0.02204509921892082,0.009244416502263594,5.204170427930421e-18,-9.203194231135457e-17,-4.9287146586572175e-17
Ch26,0.2053574242731489,0.1704753222624787,-0.18911956139195493,-0.26999096363422276,-0.05452576522450381,-0.06652653718229484,-0.051475901770989436,0.23597453891544917,0.0457283388202708,0.008015808978675092,0.12731224312802378,0.060309469938215045,-0.2112449232526794,0.1632953463090116,0.069588088172988,-0.1964457839793803,-0.29529729772812996,0.15067344248081405,0.0018996998680251287,-0.18932852059092725,-0.2980179409620234,-0.21656768571400808,0.1293312503668151,0.4035404403698602,0.22479600050467496,-0.20906211424841836,0.19172066318653058,-0.16003671074000736,-4.718447854656915e-16,2.1491504082009e-16,1.912714387599473e-16
Ch27,-0.30230079271370247,0.07766579744015585,0.1378714775241799,-0.07183366748074123,0.0626124698239188,-0.027122256300814315,0.0658359315520729,0.1264088945975932,0.04223807694913988,-0.20889859048464,-0.025246393396174877,-0.0410812514083059,-0.03419578486955416,-0.16711812185724464,-0.2218138033347852,0.10815846547692866,-0.22920070463223877,0.3459362183760022,0.018454312353852934,-0.010314956540500297,0.18539435932038076,0.4355336614362437,0.4312147421451384,-0.1411168416467758,0.1779265503575265,-0.09682978525155826,0.1212762783360857,-0.23955085182861408,2.0816681711721685e-16,4.964576253055559e-17,-1.3801677068732668e-16
Ch28,-0.24089064595109924,-0.1515419634203537,0.35919745818086307,0.04644898896037003,0.004296650401366654,-0.040276969951761644,0.12567800260942055,0.021388772383800804,0.1815622635925997,0.021553921220502863,-0.2173627959448029,0.07432901333832047,0.07325219470056805,0.21932754683848765,0.025694334078640597,0.022639210071801655,0.13123360608497694,-0.04997898158886391,0.23240860282704717,-0.14356049082809408,-0.10255427735095941,-0.12418408701094563,0.15532157224690837,0.34093379672487895,0.10599990790243863,0.27508538545253775,-0.22511258899235984,-0.20096319876384314,0.436435780471985,-3.9194560729634756e-16,-4.562696895006823e-17
Ch29,0.06313158044977013,0.19699259260014965,0.2992860509297987,-0.21285179717782282,0.1813417780993045,-0.029391971265725233,-0.3172054451735834,0.11398711288866148,0.1727017983891563,0.04666533017964331,0.0006296037999004439,-0.16379309958149876,-0.20059225111354917,0.014078903710795461,0.1010797325505118,0.046591648514010875,-0.23930849184218972,0.058315570492789355,0.33736090723292506,-0.02304668019478524,-0.07775305184990566,-0.14212410053862734,-0.10510285583294604,-0.3206981754410642,-0.190581467442944,0.3896931856199507,-0.05409155519924821,-0.09713481144472713,-0.21821789023599236,1.0737234303311455e-16,-4.114443199395325e-16
Ch30,0.06936066035496366,-0.3053407535960682,0.16520384402761945,0.12590447868382182,-0.3517920217207733,-0.314097538945199,-0.27247512720476486,0.13370406263187032,0.04643711296362922,0.15895816117157674,0.024804623010459555,0.20544561853793847,-0.07729519636146492,-0.011882605696932207,0.13041049691132595,-0.005998336968608542,0.22103333986066404,0.3555372962245803,-0.0030261680589424578,0.04872569848420402,0.014685462888286354,-0.11010987375337082,0.2084499667088194,-0.15668388380212467,0.12116447026540687,0.09052170917738196,0.27400173257665855,0.30811154939015406,1.4051260155412137e-16,-3.0129537270669786e-16,-1.4799783862862483e-16
Ch31,0.19477656013907574,-0.06185657901182717,-0.04799726115218708,0.4197387410170981,0.18579060158633048,0.050591669554785536,0.13977341843424987,0.2257673417100846,0.245114030563488,-0.19990149774507057,0.07267699991043071,0.03368713045715044,0.055104226211180635,0.23176275498365356,-0.03501915173097935,-0.24053336115854815,-0.23476417542274566,0.1162403518017943,-0.015656526191215145,-0.1010560545475496,0.21989668034234353,0.14405936040401052,0.07912344626092592,0.2122832917732475,-0.11417276282675062,0.24552773764719976,-0.1239592161418439,0.33772016019979795,-0.21821789023599197,-2.825540426786064e-16,-5.485427787904818e-17
